Date,Height,Data,QC
2458872.833333333000000,,0.08799999952316284,N
2458872.791666666500000,,0.09099999815225601,N
2458872.750000000000000,,0.09000000357627869,N
2458872.708333333000000,,0.09099999815225601,N
2458872.666666666500000,,0.08699999749660492,N
2458872.625000000000000,,0.07999999821186066,N
2458872.583333333000000,,0.0860000029206276,N
2458872.541666666500000,,0.0989999994635582,N
2458872.500000000000000,,0.10899999737739563,N
2458872.458333333000000,,0.11599999666213989,N
2458872.416666666500000,,0.11800000071525574,N
2458872.375000000000000,,0.11699999868869781,N
2458872.333333333000000,,0.11699999868869781,N
2458872.291666666500000,,0.11599999666213989,N
2458872.250000000000000,,0.11500000208616257,N
2458872.208333333000000,,0.11699999868869781,N
2458872.166666666500000,,0.12099999934434891,N
2458872.125000000000000,,0.12399999797344208,N
2458872.083333333000000,,0.12200000137090683,N
2458872.041666666500000,,0.11699999868869781,N
2458872.000000000000000,,0.1120000034570694,N
2458871.958333333000000,,0.10599999874830246,N
2458871.916666666500000,,0.10599999874830246,N
2458871.875000000000000,,0.10599999874830246,N
2458879.833333333000000,,0.0430000014603138,N
2458879.791666666500000,,0.04399999976158142,N
2458879.750000000000000,,0.04600000008940697,N
2458879.708333333000000,,0.04600000008940697,N
2458879.666666666500000,,0.04500000178813934,N
2458879.625000000000000,,0.041999999433755875,N
2458879.583333333000000,,0.0430000014603138,N
2458879.541666666500000,,0.04500000178813934,N
2458879.500000000000000,,0.04600000008940697,N
2458879.458333333000000,,0.04600000008940697,N
2458879.416666666500000,,0.04399999976158142,N
2458879.375000000000000,,0.0430000014603138,N
2458879.333333333000000,,0.04399999976158142,N
2458879.291666666500000,,0.04399999976158142,N
2458879.250000000000000,,0.04600000008940697,N
2458879.208333333000000,,0.04699999839067459,N
2458879.166666666500000,,0.04500000178813934,N
2458879.125000000000000,,0.041999999433755875,N
2458879.083333333000000,,0.03999999910593033,N
2458879.041666666500000,,0.039000000804662704,N
2458879.000000000000000,,0.039000000804662704,N
2458878.958333333000000,,0.039000000804662704,N
2458878.916666666500000,,0.03999999910593033,N
2458878.875000000000000,,0.03999999910593033,N
