"","datetime","site_id","depth","observation","variable"
"81",2023-03-15 12:00:00,"swan_canning",2,23.7749996185303,"Temperature"
"82",2023-03-16 12:00:00,"swan_canning",2,23.8229999542236,"Temperature"
"83",2023-03-19 12:00:00,"swan_canning",2,21.9300003051758,"Temperature"
"84",2023-03-17 12:00:00,"swan_canning",2,23.2029991149902,"Temperature"
"85",2023-03-28 12:00:00,"swan_canning",2,21.7950000762939,"Temperature"
"86",2023-03-21 12:00:00,"swan_canning",2,22.8150005340576,"Temperature"
"87",2023-12-21 12:00:00,"swan_canning",2,24.2399997711182,"Temperature"
"88",2023-03-22 12:00:00,"swan_canning",2,23.2329998016357,"Temperature"
"89",2023-03-23 12:00:00,"swan_canning",2,23.382999420166,"Temperature"
"90",2023-03-24 12:00:00,"swan_canning",2,23.4680004119873,"Temperature"
"91",2023-03-29 12:00:00,"swan_canning",2,21.3479995727539,"Temperature"
"92",2023-03-25 12:00:00,"swan_canning",2,23.2700004577637,"Temperature"
"93",2023-03-26 12:00:00,"swan_canning",2,23.4150009155273,"Temperature"
"94",2023-03-31 12:00:00,"swan_canning",2,21.0799999237061,"Temperature"
"95",2023-03-27 12:00:00,"swan_canning",2,22.5279998779297,"Temperature"
"96",2023-04-01 12:00:00,"swan_canning",2,19.7000007629395,"Temperature"
"97",2023-03-30 12:00:00,"swan_canning",2,21.5699996948242,"Temperature"
"98",2023-04-02 12:00:00,"swan_canning",2,19.6499996185303,"Temperature"
"99",2023-04-03 12:00:00,"swan_canning",2,20.2000007629395,"Temperature"
"100",2023-04-04 12:00:00,"swan_canning",2,20.4300003051758,"Temperature"
"101",2023-04-14 12:00:00,"swan_canning",2,18.8099994659424,"Temperature"
"102",2023-04-05 12:00:00,"swan_canning",2,20.1599998474121,"Temperature"
"103",2023-04-06 12:00:00,"swan_canning",2,19.9449996948242,"Temperature"
"104",2023-04-12 12:00:00,"swan_canning",2,19.2849998474121,"Temperature"
"105",2023-04-07 12:00:00,"swan_canning",2,19.8379993438721,"Temperature"
"106",2023-04-08 12:00:00,"swan_canning",2,19.4330005645752,"Temperature"
"107",2023-04-09 12:00:00,"swan_canning",2,19.375,"Temperature"
"108",2023-04-10 12:00:00,"swan_canning",2,19.2700004577637,"Temperature"
"109",2023-04-13 12:00:00,"swan_canning",2,19.7350006103516,"Temperature"
"110",2023-04-11 12:00:00,"swan_canning",2,19.1000003814697,"Temperature"
"111",2023-04-17 12:00:00,"swan_canning",2,18.6180000305176,"Temperature"
"112",2023-04-19 12:00:00,"swan_canning",2,18.2700004577637,"Temperature"
"113",2023-04-16 12:00:00,"swan_canning",2,18.6000003814697,"Temperature"
"114",2023-04-15 12:00:00,"swan_canning",2,18.3980007171631,"Temperature"
"115",2023-04-20 12:00:00,"swan_canning",2,18.1429996490479,"Temperature"
"116",2023-04-18 12:00:00,"swan_canning",2,18.9449996948242,"Temperature"
"117",2023-04-21 12:00:00,"swan_canning",2,17.8999996185303,"Temperature"
